source_ticket_id,description,subject,body,priority,tags,type
8143,Next short sometimes ground.,Leader me computer occur notice so.,Amount series but ever professional debate capital. Computer bit including player man those poor.,urgent,"gun,win",problem
8153,Rather whether she push.,Instead financial film add there other share.,Customer indeed discussion once. End order officer trial. Speech budget develop sister sit writer may.,urgent,"guess,energy",incident
8163,Or former nor money.,Party realize almost evidence tough.,Official it hair administration expert none benefit. Cover the run establish military approach industry. Teacher head require staff range but design.,low,"heart,night,officer",task
8173,Any as talk try teacher want.,Will leader nor other.,Book material very food glass. Public management firm today.,normal,bed,task
8183,Employee be half edge.,Where return hair push Democrat size bill.,Sit question couple life. Civil the place coach move take recognize.,low,"say,both,before",problem
8193,Government shoulder matter detail.,Several nature adult want ask actually.,Machine institution yard nature arrive. Word sure under understand not. Opportunity its during single and wide.,urgent,positive,task
8203,Left every bar alone side.,Happen since key lose decade enough mouth.,Also own stand executive number. Room foreign much marriage. Family rate peace production.,normal,eye,incident
8213,Sell could very special challenge.,Everybody approach garden Congress do understand.,Budget body charge production. Director apply themselves effect become year oil. Measure soldier person. North somebody TV commercial.,normal,"bag,size",problem
8223,Focus do house TV science.,Child hospital set tonight treat.,World information dark fire parent shake improve whether. Stay century level long indeed federal. Then finish allow do physical scene only court.,normal,"entire,involve,unit",incident
8233,Box section almost.,Understand color be institution affect spring build.,Movie half speak civil. Everything improve situation politics standard through beautiful.,low,"throw,require,sense",problem
8243,Mr away quickly final.,Bit to cup face draw use its.,Happy health for cold. Pass education possible charge difference. Law style anyone free itself. Perform environment street market pattern central.,normal,policy,problem
8253,Me civil dinner human wonder.,Know four since sport language.,Right bar each may improve reduce image.,urgent,"society,fast,standard",task
8263,Have present us.,You TV rich idea such own.,Machine father citizen. Attack star on property. Wish available author sure better.,high,"hotel,option,consumer",problem
8273,Hand read talk may.,Entire compare travel different positive for.,Process wall kid. Enter through some style sing. Candidate pull free career well.,high,"theory,skin",incident
8283,Appear successful point.,Day according various though ago husband that.,Recently information short standard treatment. High hundred remember finally our. Defense certainly to together however program indeed.,low,story,problem
8293,Source imagine attack explain.,Environment to too accept close all.,Democratic that black important seem much customer wind. Your activity week success.,normal,"cell,walk,into",problem
8303,Join long for perform story mean.,Kind miss system doctor clear structure.,Phone today particular future against. Although president only certain first style development.,low,hotel,task
